AUS;2016;1,276991
AUS;2017;1,948647
AUS;2018;1,911401
AUS;2019;1,610768
AUS;2020;0,8469055
AUT;2016;0,8915924
AUT;2017;2,081269
AUT;2018;1,998382
AUT;2019;1,530896
AUT;2020;1,381909
BEL;2016;1,973853
BEL;2017;2,125971
BEL;2018;2,053165
BEL;2019;1,43682
BEL;2020;0,7407918
CAN;2016;1,42876
CAN;2017;1,596884
CAN;2018;2,268226
CAN;2019;1,949269
CAN;2020;0,7169997
CZE;2016;0,6835042
CZE;2017;2,450534
CZE;2018;2,149495
CZE;2019;2,847876
CZE;2020;3,161295
DNK;2016;0,25
DNK;2017;1,147132
DNK;2018;0,8136095
DNK;2019;0,7581316
DNK;2020;0,420712
FIN;2016;0,3566845
FIN;2017;0,754015
FIN;2018;1,083821
FIN;2019;1,024094
FIN;2020;0,2905546
FRA;2016;0,1833349
FRA;2017;1,032283
FRA;2018;1,850815
FRA;2019;1,108255
FRA;2020;0,4764988
DEU;2016;0,4917486
DEU;2017;1,509497
DEU;2018;1,732168
DEU;2019;1,445667
DEU;2020;0,5066899
GRC;2016;-0,8256576
GRC;2017;1,121259
GRC;2018;0,6256205
GRC;2019;0,2529927
GRC;2020;-1,247972
HUN;2016;0,3947693
HUN;2017;2,348243
HUN;2018;2,850248
HUN;2019;3,338586
HUN;2020;3,326744
ISL;2016;1,69693
ISL;2017;1,760413
ISL;2018;2,682915
ISL;2019;3,013977
ISL;2020;2,847919
IRL;2016;0,008306338
IRL;2017;0,3405316
IRL;2018;0,4883702
IRL;2019;0,9390445
IRL;2020;-0,3345846
ITA;2016;-0,0940214
ITA;2017;1,226533
ITA;2018;1,137488
ITA;2019;0,6112469
ITA;2020;-0,1377076
JPN;2016;-0,1333333
JPN;2017;0,475
JPN;2018;0,9916667
JPN;2019;0,475
JPN;2020;-0,01666667
KOR;2016;0,9716747
KOR;2017;1,944456
KOR;2018;1,475862
KOR;2019;0,3829461
KOR;2020;0,5372584
LUX;2016;0,2908333
LUX;2017;1,7308
LUX;2018;1,528195
LUX;2019;1,743321
LUX;2020;0,8199573
MEX;2016;2,821708
MEX;2017;6,041456
MEX;2018;4,899351
MEX;2019;3,635961
MEX;2020;3,396834
NLD;2016;0,3166667
NLD;2017;1,381459
NLD;2018;1,703498
NLD;2019;2,633699
NLD;2020;1,27246
NZL;2016;0,6462373
NZL;2017;1,850787
NZL;2018;1,598298
NZL;2019;1,619632
NZL;2020;1,714562
NOR;2016;3,55
NOR;2017;1,875101
NOR;2018;2,764831
NOR;2019;2,16773
NOR;2020;1,286585
POL;2016;-0,5833333
POL;2017;1,975
POL;2018;1,666667
POL;2019;2,308333
POL;2020;3,4
PRT;2016;0,6073971
PRT;2017;1,368614
PRT;2018;0,9937157
PRT;2019;0,3381784
PRT;2020;-0,01243833
SVK;2016;-0,5200102
SVK;2017;1,311946
SVK;2018;2,514037
SVK;2019;2,664561
SVK;2020;1,936941
ESP;2016;-0,2026717
ESP;2017;1,956083
ESP;2018;1,675068
ESP;2019;0,6995363
ESP;2020;-0,322671
SWE;2016;0,9842693
SWE;2017;1,794499
SWE;2018;1,953535
SWE;2019;1,784151
SWE;2020;0,4973673
CHE;2016;-0,4346187
CHE;2017;0,5337878
CHE;2018;0,9363354
CHE;2019;0,3628862
CHE;2020;-0,725875
TUR;2016;7,775134
TUR;2017;11,14431
TUR;2018;16,33246
TUR;2019;15,17682
TUR;2020;12,27896
GBR;2016;1
GBR;2017;2,6
GBR;2018;2,3
GBR;2019;1,7
GBR;2020;1
USA;2016;1,261583
USA;2017;2,13011
USA;2018;2,442583
USA;2019;1,81221
USA;2020;1,233584
CHL;2016;3,786194
CHL;2017;2,182719
CHL;2018;2,43489
CHL;2019;2,557545
CHL;2020;3,045491
EST;2016;0,1486849
EST;2017;3,417236
EST;2018;3,436327
EST;2019;2,277259
EST;2020;-0,4445311
ISR;2016;-0,5460349
ISR;2017;0,2449531
ISR;2018;0,8173239
ISR;2019;0,8441287
ISR;2020;-0,5884303
SVN;2016;-0,05499954
SVN;2017;1,429107
SVN;2018;1,738609
SVN;2019;1,630523
SVN;2020;-0,05485681
OECD;2016;1,197644
OECD;2017;2,281066
OECD;2018;2,607213
OECD;2019;2,068631
OECD;2020;1,366851
COL;2016;7,514293
COL;2017;4,312141
COL;2018;3,240234
COL;2019;3,525493
COL;2020;2,524621
LVA;2016;0,1406308
LVA;2017;2,930369
LVA;2018;2,53446
LVA;2019;2,811403
LVA;2020;0,2190611
LTU;2016;0,9055251
LTU;2017;3,722889
LTU;2018;2,697928
LTU;2019;2,334509
LTU;2020;1,199894
CRI;2016;-0,01747885
CRI;2017;1,625907
CRI;2018;2,221115
CRI;2019;2,096046
CRI;2020;0,7249115
